



>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
a52dec 0.7.4-11
cryptsetup 2.4.3-2
curl 7.81.0-2
dav1d 0.9.2-1
db 5.3.28-5
dbus 1.12.20-1
dbus-glib 0.112-2
dbus-python 1.2.18-3
dconf 0.40.0-1
deepin-desktop-base 2:2021.06.16-1
deepin-qt-dbus-factory 5.5.5-1
deepin-qt5integration 5.5.8-1
deepin-qt5platform-plugins 5.0.46-1
deepin-screenshot 5.0.0-6
deepin-turbo 0.0.3-2
deepin-wayland 1.0.0-1
desktop-file-utils 0.26-1
device-mapper 2.03.15-1
dialog 1:1.3_20220117-1
diffutils 3.8-1
dmenu 5.0-1
dmraid 1.0.0.rc16.3-13
dnssec-anchors 20190629-3
docker 1:20.10.12-1
dosfstools 4.2-2
double-conversion 3.2.0-1
dpkg 1.21.1-1
dtkcommon 5.5.20-1
dtkcore 1:5.5.23-1
dtkgui 5.5.21-1
dtkwidget 5.5.37-1
dtkwm 2.0.12-10
e2fsprogs 1.46.5-3
ebook-tools 0.2.2-7
efibootmgr 17-2
efivar 38-2
electron12 12.2.3-3
electron13 13.6.9-1
elfutils 0.186-5
emacs 27.2-1
enchant 2.3.2-1
exempi 2.6.1-1
exiv2 0.27.5-1
expat 2.4.5-2
faac 1.30-3
faad2 2.10.0-1
fakeroot 1.27-1
ffmpeg 2:5.0-4
ffmpeg4.4 4.4.1-4
fftw 3.3.10-2
file 5.41-1
filesystem 2021.12.07-1
findutils 4.9.0-1
flac 1.3.3-3
flex 2.6.4-3
fluidsynth 2.2.5-1
fontconfig 2:2.13.96-1
freetype2 2.11.1-1
frei0r-plugins 1.7.0-2
fribidi 1.0.11-1
fuse-common 3.10.5-1
fuse2 2.9.9-4
fuse3 3.10.5-1
gavl 1.4.0-5
gawk 5.1.1-1
gc 8.2.0-2
gcc 11.2.0-3
gcc-libs 11.2.0-3
gcr 3.41.0-1
gd 2.3.3-3
gdbm 1.23-1
gdk-pixbuf2 2.42.6-2
gegl 0.4.34-2
geoclue 2.5.7-4
geocode-glib 3.26.2+r9+g6047da3-1
gettext 0.21-1
ghostscript 9.55.0-4
giblib 1.2.4-8
giflib 5.2.1-2
gimp 2.10.30-1
git 2.35.1-1
glew 2.2.0-2
